2023-04-05 20:04:48.966271+01:00 Script Start 
2023-04-05 20:04:50.604707+01:00 Guessed Red 
2023-04-05 20:04:50.615722+01:00 Current Guess 
['red'] 
2023-04-05 20:04:51.164232+01:00 Guessed green 
2023-04-05 20:04:51.174232+01:00 Current Guess 
['red', 'green'] 
2023-04-05 20:04:51.187228+01:00 Win 
2023-04-05 20:04:51.199229+01:00 Win 
2023-04-05 20:04:51.213738+01:00 Win 
2023-04-05 20:04:51.227739+01:00 Win 
2023-04-05 20:04:51.241740+01:00 Win 
2023-04-05 20:04:51.255741+01:00 Win 
2023-04-05 20:04:51.266759+01:00 Win 
2023-04-05 20:04:51.280548+01:00 Win 
2023-04-05 20:04:51.293556+01:00 Win 
2023-04-05 20:04:51.306002+01:00 Win 
2023-04-05 20:04:51.317002+01:00 Win 
2023-04-05 20:04:51.330002+01:00 Win 
2023-04-05 20:04:51.343004+01:00 Win 
2023-04-05 20:04:51.356008+01:00 Win 
2023-04-05 20:04:51.367991+01:00 Win 
2023-04-05 20:04:51.382006+01:00 Win 
2023-04-05 20:04:51.394017+01:00 Win 
2023-04-05 20:04:51.406507+01:00 Win 
2023-04-05 20:04:51.417524+01:00 Win 
2023-04-05 20:04:51.430523+01:00 Win 
2023-04-05 20:04:51.444048+01:00 Win 
2023-04-05 20:04:51.456053+01:00 Win 
2023-04-05 20:04:51.467049+01:00 Win 
2023-04-05 20:04:51.480055+01:00 Win 
2023-04-05 20:04:51.492066+01:00 Win 
2023-04-05 20:04:51.503611+01:00 Win 
2023-04-05 20:04:51.514622+01:00 Win 
2023-04-05 20:04:51.525623+01:00 Win 
2023-04-05 20:04:51.541534+01:00 Win 
2023-04-05 20:04:51.553517+01:00 Win 
2023-04-05 20:04:51.565524+01:00 Win 
2023-04-05 20:04:51.578532+01:00 Win 
2023-04-05 20:04:51.589554+01:00 Win 
2023-04-05 20:04:51.601552+01:00 Win 
2023-04-05 20:04:51.612861+01:00 Win 
2023-04-05 20:04:51.624861+01:00 Win 
2023-04-05 20:04:51.635865+01:00 Win 
2023-04-05 20:04:51.648857+01:00 Win 
2023-04-05 20:04:51.660862+01:00 Win 
2023-04-05 20:04:51.672864+01:00 Win 
2023-04-05 20:04:51.684863+01:00 Win 
2023-04-05 20:04:51.694894+01:00 Win 
2023-04-05 20:04:51.705427+01:00 Win 
2023-04-05 20:04:51.716423+01:00 Win 
2023-04-05 20:04:51.730434+01:00 Win 
2023-04-05 20:04:51.743423+01:00 Win 
2023-04-05 20:04:51.755431+01:00 Win 
2023-04-05 20:04:51.768435+01:00 Win 
2023-04-05 20:04:51.779430+01:00 Win 
2023-04-05 20:04:51.791455+01:00 Win 
2023-04-05 20:04:51.803158+01:00 Win 
2023-04-05 20:04:51.815173+01:00 Win 
2023-04-05 20:04:51.826179+01:00 Win 
2023-04-05 20:04:51.838166+01:00 Win 
2023-04-05 20:04:51.849169+01:00 Win 
2023-04-05 20:04:51.862169+01:00 Win 
2023-04-05 20:04:51.875166+01:00 Win 
2023-04-05 20:04:51.886166+01:00 Win 
2023-04-05 20:04:51.897192+01:00 Win 
2023-04-05 20:04:51.908706+01:00 Win 
2023-04-05 20:04:51.920703+01:00 Win 
2023-04-05 20:04:51.931707+01:00 Win 
2023-04-05 20:04:51.943694+01:00 Win 
2023-04-05 20:04:51.955715+01:00 Win 
2023-04-05 20:04:51.966710+01:00 Win 
2023-04-05 20:04:51.979122+01:00 Win 
2023-04-05 20:04:51.993122+01:00 Win 
2023-04-05 20:04:52.005663+01:00 Win 
2023-04-05 20:04:52.016664+01:00 Win 
2023-04-05 20:04:52.028661+01:00 Win 
2023-04-05 20:04:52.041669+01:00 Win 
2023-04-05 20:04:52.051653+01:00 Win 
2023-04-05 20:04:52.062666+01:00 Win 
2023-04-05 20:04:52.074670+01:00 Win 
2023-04-05 20:04:52.090670+01:00 Win 
2023-04-05 20:04:52.103196+01:00 Win 
2023-04-05 20:04:52.115221+01:00 Win 
2023-04-05 20:04:52.129221+01:00 Win 
2023-04-05 20:04:52.142226+01:00 Win 
2023-04-05 20:04:52.155219+01:00 Win 
2023-04-05 20:04:52.167386+01:00 Win 
2023-04-05 20:04:52.179396+01:00 Win 
2023-04-05 20:04:52.193423+01:00 Win 
2023-04-05 20:04:52.206614+01:00 Win 
2023-04-05 20:04:52.220622+01:00 Win 
2023-04-05 20:04:52.232618+01:00 Win 
2023-04-05 20:04:52.248621+01:00 Win 
2023-04-05 20:04:52.260623+01:00 Win 
2023-04-05 20:04:52.274625+01:00 Win 
2023-04-05 20:04:52.287611+01:00 Win 
2023-04-05 20:04:52.299639+01:00 Win 
2023-04-05 20:04:52.313170+01:00 Win 
2023-04-05 20:04:52.325156+01:00 Win 
2023-04-05 20:04:52.338180+01:00 Win 
2023-04-05 20:04:52.349173+01:00 Win 
2023-04-05 20:04:52.364162+01:00 Win 
2023-04-05 20:04:52.379176+01:00 Win 
2023-04-05 20:04:52.393187+01:00 Win 
2023-04-05 20:04:52.404723+01:00 Win 
2023-04-05 20:04:52.415735+01:00 Win 
2023-04-05 20:04:52.428728+01:00 Win 
2023-04-05 20:04:52.440728+01:00 Win 
2023-04-05 20:04:52.452717+01:00 Win 
2023-04-05 20:04:52.464724+01:00 Win 
2023-04-05 20:04:52.479144+01:00 Win 
2023-04-05 20:04:52.493144+01:00 Win 
2023-04-05 20:04:52.505685+01:00 Win 
2023-04-05 20:04:52.519668+01:00 Win 
2023-04-05 20:04:52.531687+01:00 Win 
2023-04-05 20:04:52.543692+01:00 Win 
2023-04-05 20:04:52.555694+01:00 Win 
2023-04-05 20:04:52.567689+01:00 Win 
2023-04-05 20:04:52.579690+01:00 Win 
2023-04-05 20:04:52.590718+01:00 Win 
2023-04-05 20:04:52.601713+01:00 Win 
2023-04-05 20:04:52.613967+01:00 Win 
2023-04-05 20:04:52.625965+01:00 Win 
2023-04-05 20:04:52.636949+01:00 Win 
2023-04-05 20:04:52.649962+01:00 Win 
2023-04-05 20:04:52.660969+01:00 Win 
2023-04-05 20:04:52.672949+01:00 Win 
2023-04-05 20:04:52.685951+01:00 Win 
2023-04-05 20:04:52.697988+01:00 Win 
2023-04-05 20:04:52.710171+01:00 Win 
2023-04-05 20:04:52.722164+01:00 Win 
2023-04-05 20:04:52.734172+01:00 Win 
2023-04-05 20:04:52.747152+01:00 Win 
2023-04-05 20:04:52.760171+01:00 Win 
2023-04-05 20:04:52.772175+01:00 Win 
2023-04-05 20:04:52.783180+01:00 Win 
2023-04-05 20:04:52.796194+01:00 Win 
2023-04-05 20:04:52.808632+01:00 Win 
2023-04-05 20:04:52.821632+01:00 Win 
2023-04-05 20:04:52.832626+01:00 Win 
2023-04-05 20:04:52.867615+01:00 Win 
2023-04-05 20:04:52.883615+01:00 Win 
2023-04-05 20:04:52.895629+01:00 Win 
2023-04-05 20:04:52.907142+01:00 Win 
2023-04-05 20:04:52.919143+01:00 Win 
2023-04-05 20:04:52.931143+01:00 Win 
2023-04-05 20:04:52.945145+01:00 Win 
2023-04-05 20:04:52.956148+01:00 Win 
2023-04-05 20:04:52.967145+01:00 Win 
2023-04-05 20:04:52.979165+01:00 Win 
2023-04-05 20:04:52.992152+01:00 Win 
2023-04-05 20:04:53.000982+01:00 Win 
2023-04-05 20:04:53.012501+01:00 Win 
2023-04-05 20:04:53.026497+01:00 Win 
2023-04-05 20:04:53.037504+01:00 Win 
2023-04-05 20:04:53.049500+01:00 Win 
2023-04-05 20:04:53.062499+01:00 Win 
2023-04-05 20:04:53.074515+01:00 Win 
2023-04-05 20:04:53.084503+01:00 Win 
2023-04-05 20:04:53.094503+01:00 Win 
2023-04-05 20:04:53.105028+01:00 Win 
2023-04-05 20:04:53.115028+01:00 Win 
2023-04-05 20:04:53.126029+01:00 Win 
2023-04-05 20:04:53.137048+01:00 Win 
2023-04-05 20:04:53.147047+01:00 Win 
2023-04-05 20:04:53.158049+01:00 Win 
2023-04-05 20:04:53.168050+01:00 Win 
2023-04-05 20:04:53.178051+01:00 Win 
2023-04-05 20:04:53.188045+01:00 Win 
2023-04-05 20:04:53.198069+01:00 Win 
2023-04-05 20:04:53.212149+01:00 Win 
2023-04-05 20:04:53.223150+01:00 Win 
2023-04-05 20:04:53.233154+01:00 Win 
2023-04-05 20:04:53.245155+01:00 Win 
2023-04-05 20:04:53.255148+01:00 Win 
2023-04-05 20:04:53.264154+01:00 Win 
2023-04-05 20:04:53.276151+01:00 Win 
2023-04-05 20:04:53.286139+01:00 Win 
2023-04-05 20:04:53.297172+01:00 Win 
2023-04-05 20:04:53.309202+01:00 Win 
2023-04-05 20:04:53.318190+01:00 Win 
2023-04-05 20:04:53.329208+01:00 Win 
2023-04-05 20:04:53.341206+01:00 Win 
2023-04-05 20:04:53.353189+01:00 Win 
2023-04-05 20:04:53.363189+01:00 Win 
2023-04-05 20:04:53.373190+01:00 Win 
2023-04-05 20:04:53.384189+01:00 Win 
2023-04-05 20:04:53.395229+01:00 Win 
2023-04-05 20:04:53.405478+01:00 Win 
2023-04-05 20:04:53.415485+01:00 Win 
2023-04-05 20:04:53.425487+01:00 Win 
2023-04-05 20:04:53.434487+01:00 Win 
2023-04-05 20:04:53.445462+01:00 Win 
2023-04-05 20:04:53.456485+01:00 Win 
2023-04-05 20:04:53.465466+01:00 Win 
2023-04-05 20:04:53.475489+01:00 Win 
2023-04-05 20:04:53.486467+01:00 Win 
2023-04-05 20:04:53.497472+01:00 Win 
2023-04-05 20:04:53.511989+01:00 Win 
2023-04-05 20:04:53.521988+01:00 Win 
2023-04-05 20:04:53.531988+01:00 Win 
2023-04-05 20:04:53.542989+01:00 Win 
2023-04-05 20:04:53.555990+01:00 Win 
2023-04-05 20:04:53.565991+01:00 Win 
2023-04-05 20:04:53.574993+01:00 Win 
2023-04-05 20:04:53.583994+01:00 Win 
2023-04-05 20:04:53.594993+01:00 Win 
2023-04-05 20:04:53.602995+01:00 Win 
2023-04-05 20:04:53.614548+01:00 Win 
2023-04-05 20:04:53.626545+01:00 Win 
2023-04-05 20:04:53.636532+01:00 Win 
2023-04-05 20:04:53.646556+01:00 Win 
2023-04-05 20:04:53.656548+01:00 Win 
2023-04-05 20:04:53.667532+01:00 Win 
2023-04-05 20:04:53.679555+01:00 Win 
2023-04-05 20:04:53.689554+01:00 Win 
2023-04-05 20:04:53.699586+01:00 Win 
2023-04-05 20:04:53.710629+01:00 Win 
2023-04-05 20:04:53.720615+01:00 Win 
2023-04-05 20:04:53.728634+01:00 Win 
2023-04-05 20:04:53.738631+01:00 Win 
2023-04-05 20:04:53.750633+01:00 Win 
2023-04-05 20:04:53.761633+01:00 Win 
2023-04-05 20:04:53.772296+01:00 Win 
2023-04-05 20:04:53.782306+01:00 Win 
2023-04-05 20:04:53.795297+01:00 Win 
2023-04-05 20:04:53.811231+01:00 Win 
2023-04-05 20:04:53.820236+01:00 Win 
2023-04-05 20:04:53.830240+01:00 Win 
2023-04-05 20:04:53.839241+01:00 Win 
2023-04-05 20:04:53.854228+01:00 Win 
2023-04-05 20:04:53.867234+01:00 Win 
2023-04-05 20:04:53.882218+01:00 Win 
2023-04-05 20:04:53.896223+01:00 Win 
2023-04-05 20:04:53.908777+01:00 Win 
2023-04-05 20:04:53.919763+01:00 Win 
2023-04-05 20:04:53.932784+01:00 Win 
