2023-04-14 17:11:18.316017+01:00 Script Start 
2023-04-14 17:15:44.163474+01:00 Lights Triggered 
2023-04-14 17:16:02.192475+01:00 Lights Triggered 
2023-04-14 17:16:03.984491+01:00 Guessed Purple 
2023-04-14 17:16:04.014532+01:00 Current Guess 
['purple'] 
2023-04-14 17:16:12.887545+01:00 Guessed green 
2023-04-14 17:16:12.896548+01:00 Current Guess 
['purple', 'green'] 
2023-04-14 17:16:18.579698+01:00 Guessed Blue 
2023-04-14 17:16:18.636258+01:00 Current Guess 
['purple', 'green', 'blue'] 
2023-04-14 17:16:19.104594+01:00 Guessed Orange 
2023-04-14 17:16:19.151795+01:00 Current Guess 
['purple', 'green', 'blue', 'orange'] 
2023-04-14 17:16:19.560861+01:00 Guessed White 
2023-04-14 17:16:19.578413+01:00 Current Guess 
['purple', 'green', 'blue', 'orange', 'white'] 
2023-04-14 17:16:20.359557+01:00 Guessed Red 
2023-04-14 17:16:20.404378+01:00 Current Guess 
['purple', 'green', 'blue', 'orange', 'white', 'red'] 
2023-04-14 17:16:20.427337+01:00 Win 
2023-04-14 17:16:20.937545+01:00 Win 
2023-04-14 17:16:21.451484+01:00 Win 
2023-04-14 17:16:21.963575+01:00 Win 
2023-04-14 17:16:22.472009+01:00 Win 
2023-04-14 17:16:22.985543+01:00 Win 
2023-04-14 17:16:23.496346+01:00 Win 
2023-04-14 17:16:24.012954+01:00 Win 
2023-04-14 17:16:24.525539+01:00 Win 
2023-04-14 17:16:25.036780+01:00 Win 
2023-04-14 17:16:25.554563+01:00 Win 
2023-04-14 17:16:26.069935+01:00 Win 
2023-04-14 17:16:26.581505+01:00 Win 
2023-04-14 17:16:27.092556+01:00 Win 
2023-04-14 17:16:27.609909+01:00 Win 
2023-04-14 17:16:28.124214+01:00 Win 
2023-04-14 17:16:28.636606+01:00 Win 
2023-04-14 17:16:29.149300+01:00 Win 
2023-04-14 17:16:29.660870+01:00 Win 
2023-04-14 17:16:30.172507+01:00 Win 
2023-04-14 17:16:30.683483+01:00 Win 
2023-04-14 17:16:31.199075+01:00 Win 
2023-04-14 17:16:31.709515+01:00 Win 
2023-04-14 17:16:32.220655+01:00 Win 
2023-04-14 17:16:32.733442+01:00 Win 
2023-04-14 17:16:33.244509+01:00 Win 
2023-04-14 17:16:33.762732+01:00 Win 
2023-04-14 17:16:34.277073+01:00 Win 
2023-04-14 17:16:34.796012+01:00 Win 
2023-04-14 17:16:35.310000+01:00 Win 
2023-04-14 17:16:35.823005+01:00 Win 
2023-04-14 17:16:36.332411+01:00 Win 
2023-04-14 17:16:36.848970+01:00 Win 
2023-04-14 17:16:37.364119+01:00 Win 
2023-04-14 17:16:37.877283+01:00 Win 
2023-04-14 17:16:38.387502+01:00 Win 
2023-04-14 17:16:38.899283+01:00 Win 
2023-04-14 17:16:39.415946+01:00 Win 
2023-04-14 17:16:39.929946+01:00 Win 
2023-04-14 17:16:40.443125+01:00 Win 
2023-04-14 17:16:40.958988+01:00 Win 
2023-04-14 17:16:41.474506+01:00 Win 
2023-04-14 17:16:41.987559+01:00 Win 
2023-04-14 17:16:42.499187+01:00 Win 
2023-04-14 17:16:43.016132+01:00 Win 
2023-04-14 17:16:43.530079+01:00 Win 
2023-04-14 17:16:44.042948+01:00 Win 
2023-04-14 17:16:44.556193+01:00 Win 
2023-04-14 17:16:45.071379+01:00 Win 
2023-04-14 17:16:45.584132+01:00 Win 
2023-04-14 17:16:46.092061+01:00 Win 
2023-04-14 17:16:46.603836+01:00 Win 
2023-04-14 17:16:47.117439+01:00 Win 
2023-04-14 17:16:47.629049+01:00 Win 
2023-04-14 17:16:48.139317+01:00 Win 
2023-04-14 17:16:48.655951+01:00 Win 
2023-04-14 17:16:49.167534+01:00 Win 
2023-04-14 17:16:49.677697+01:00 Win 
2023-04-14 17:16:50.188676+01:00 Win 
2023-04-14 17:16:50.700631+01:00 Win 
2023-04-14 17:16:51.213065+01:00 Win 
2023-04-14 17:16:51.725204+01:00 Win 
2023-04-14 17:16:52.235948+01:00 Win 
2023-04-14 17:16:52.747327+01:00 Win 
2023-04-14 17:16:53.264141+01:00 Win 
2023-04-14 17:16:53.775134+01:00 Win 
2023-04-14 17:16:54.288111+01:00 Win 
2023-04-14 17:16:54.803776+01:00 Win 
2023-04-14 17:16:55.314112+01:00 Win 
2023-04-14 17:16:55.829158+01:00 Win 
2023-04-14 17:16:56.340087+01:00 Win 
2023-04-14 17:16:56.852147+01:00 Win 
2023-04-14 17:16:57.363454+01:00 Win 
2023-04-14 17:16:57.874239+01:00 Win 
2023-04-14 17:16:58.386171+01:00 Win 
2023-04-14 17:16:58.898142+01:00 Win 
2023-04-14 17:16:59.413838+01:00 Win 
2023-04-14 17:16:59.926088+01:00 Win 
2023-04-14 17:17:00.438264+01:00 Win 
2023-04-14 17:17:00.949968+01:00 Win 
2023-04-14 17:17:01.468283+01:00 Win 
2023-04-14 17:17:01.981260+01:00 Win 
2023-04-14 17:17:02.495287+01:00 Win 
2023-04-14 17:17:03.013655+01:00 Win 
2023-04-14 17:17:03.525772+01:00 Win 
2023-04-14 17:17:04.041712+01:00 Win 
2023-04-14 17:17:04.554263+01:00 Win 
2023-04-14 17:17:05.065783+01:00 Win 
2023-04-14 17:17:05.576455+01:00 Win 
2023-04-14 17:17:06.086920+01:00 Win 
2023-04-14 17:17:06.635093+01:00 Win 
2023-04-14 17:17:07.193082+01:00 Win 
