2023-04-16 15:05:26.662870+01:00 Script Start 
2023-04-16 15:05:32.654792+01:00 Lights Triggered 
2023-04-16 15:05:34.357782+01:00 Lights Triggered 
2023-04-16 15:05:37.322810+01:00 Lights Triggered 
2023-04-16 15:05:39.829771+01:00 Lights Triggered 
2023-04-16 15:05:41.714425+01:00 Lights Triggered 
2023-04-16 15:05:42.994805+01:00 Lights Triggered 
2023-04-16 15:05:44.070398+01:00 Lights Triggered 
2023-04-16 15:05:44.941670+01:00 Lights Triggered 
2023-04-16 15:06:12.058336+01:00 Lights Triggered 
2023-04-16 15:06:15.942362+01:00 Lights Triggered 
